-DOCSTART- -X- -X- O
Iain Iain Case=Nom|Gender=Masc PROPN
bha bi Tense=Past VERB
an an Gender=Masc|Number=Sing DET
seudair seudair Case=Nom|Gender=Masc|Number=Sing NOUN
is is _ CCONJ
poileasman poileasman Case=Nom|Gender=Masc|Number=Sing NOUN
a' ag _ PART
feitheamh feith VerbForm=Vnoun NOUN
air air Gender=Masc|Number=Sing|Person=3 ADP
ann ann _ ADP
an an _ ADP
rùm-cùil rùm-cùil Case=Dat|Gender=Masc|Number=Sing NOUN
na an Case=Gen|Gender=Fem|Number=Sing DET
bùtha bùtha Case=Gen|Gender=Fem|Number=Sing NOUN
. . _ PUNCT

Thàinig thig Tense=Past VERB
am an Gender=Masc|Number=Sing DET
poileasman poileasman Case=Nom|Gender=Masc|Number=Sing NOUN
gu gu _ ADP
cnag cnag Case=Dat|Gender=Fem|Number=Sing NOUN
na an Case=Gen|Gender=Fem|Number=Sing DET
cùise cùis Case=Gen|Gender=Fem|Number=Sing NOUN
gun gun _ ADP
dàil dàil Case=Dat|Gender=Fem|Number=Sing NOUN
. . _ PUNCT

Dh'fhoillsich foillsich Tense=Past VERB
esan e Gender=Masc|Number=Sing|Person=3|PronType=Emp PRON
gun gun _ PART
deach rach Tense=Past VERB
mòran mòran Case=Nom|Gender=Masc|Number=Sing NOUN
de de _ ADP
rudan rud Case=Dat|Gender=Masc|Number=Plur NOUN
luachmhor luachmhor Case=Dat|Gender=Masc|Number=Plur ADJ
a a PartType=Inf PART
ghoid goid VerbForm=Inf NOUN
às as _ ADP
a' an Gender=Masc|Number=Sing DET
Chaisteal caisteal Case=Dat|Gender=Masc|Number=Sing NOUN
bho bho _ ADP
chionn cionn _ ADP
ghoirid goirid Case=Dat|Gender=Masc|Number=Sing ADJ
is is _ CCONJ
gun gun _ PART
deach rach Tense=Past VERB
iarraidh iarr _ NOUN
air air _ ADP
seudairean seudair Case=Dat|Gender=Masc|Number=Plur NOUN
fios fios Case=Nom|Gender=Masc|Number=Sing NOUN
a a PartType=Inf PART
chur cuir VerbForm=Inf NOUN
chun chun _ ADP
a' an Case=Gen|Gender=Masc|Number=Sing DET
phoilis poilis Case=Gen|Gender=Masc|Number=Sing NOUN
nam nam _ PART
biodh bi Mood=Cnd VERB
iad iad Number=Plur|Person=3 PRON
amharasach amharasach _ ADJ
. . _ PUNCT

Thigeadh tig Mood=Cnd VERB
air air _ ADP
Iain Iain Case=Dat|Gender=Masc PROPN
a a Gender=Masc|Number=Sing|Person=3 DET
cheasnachadh ceasnaich VerbForm=Inf NOUN
. . _ PUNCT

Nam nam _ PART
b' is _ AUX
e e Gender=Masc|Number=Sing|Person=3 PRON
is is _ CCONJ
gun gun _ PART
rachadh rach Mood=Cnd VERB
a a Gender=Masc|Number=Sing|Person=3 DET
mhàthair màthair Case=Nom|Gender=Fem|Number=Sing NOUN
a a PartType=Inf PART
cheasnachadh ceasnaich VerbForm=Inf NOUN
, , _ PUNCT
bha bi Tense=Past VERB
fios fios Case=Nom|Gender=Masc|Number=Sing NOUN
aig aig _ ADP
Iain Iain Case=Dat|Gender=Masc PROPN
gun gun _ PART
canadh can Mood=Cnd VERB
ise i Gender=Fem|Number=Sing|Person=3|PronType=Emp PRON
gu gu PartType=Ad PART
coibhneil coibhneil _ ADV
, , _ PUNCT
" " _ PUNCT
A a PartType=Voc PART
luaidh luaidh Case=Voc|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
cha cha PartType=Cmpl|Polarity=Neg PART
robh bi Tense=Past VERB
a a Gender=Masc|Number=Sing|Person=3 DET
leithid leithid Case=Nom|Gender=Fem|Number=Sing NOUN
sin sin _ DET
agamsa agamsa Number=Sing|Person=1|PronType=Emp ADP
riamh riamh _ ADV
. . _ PUNCT
" " _ PUNCT

Thogadh tog Mood=Cnd VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
meur meur Case=Nom|Gender=Masc|Number=Sing NOUN
a a PartType=Vb|PronType=Rel PART
bha bi Tense=Past VERB
air air _ PART
a a Gender=Fem|Number=Sing|Person=3 DET
fiaradh fiar VerbForm=Inf NOUN
le le _ ADP
lòinidh lòinidh Case=Dat|Gender=Fem|Number=Sing NOUN
is is _ CCONJ
le le _ ADP
obair obair Case=Dat|Gender=Fem|Number=Sing NOUN
. . _ PUNCT

Cha cha PartType=Cmpl|Polarity=Neg PART
b' is _ AUX
urrainn urrainn _ NOUN
da da Gender=Masc|Number=Sing|Person=3 ADP
Tormod Tormod Case=Nom|Gender=Masc PROPN
ainmeachadh ainmich _ NOUN
, , _ PUNCT
oir oir _ CCONJ
an an Gender=Masc|Number=Sing DET
latha latha Case=Nom|Gender=Masc|Number=Sing NOUN
a a PartType=Vb|PronType=Rel PART
thigeadh tig Mood=Cnd VERB
fathann fathann Case=Nom|Gender=Masc|Number=Sing NOUN
de de _ ADP
seo seo _ PRON
gu gu _ ADP
cluasan clua Case=Dat|Gender=Fem|Number=Plur NOUN
MhicAsgaill MicAsgaill _ PROPN
bhiodh bi Mood=Cnd VERB
Tormod Tormod Case=Nom|Gender=Masc PROPN
gun gun _ ADP
obair obair Case=Dat|Gender=Fem|Number=Sing NOUN
, , _ PUNCT
gun gun _ ADP
teisteanas teisteanas Case=Dat|Gender=Masc|Number=Sing NOUN
; ; _ PUNCT
is is _ CCONJ
b' is _ AUX
e e Gender=Masc|Number=Sing|Person=3 PRON
Tormod Tormod Case=Nom|Gender=Masc PROPN
a a Gender=Masc|Number=Sing|Person=3 DET
dheagh deagh _ ADJ
charaid caraid Case=Nom|Gender=Masc|Number=Sing NOUN
bho bho _ ADP
òige òig Case=Dat|Gender=Fem|Number=Sing NOUN
. . _ PUNCT

Mar mar _ SCONJ
a a PartType=Vb|PronType=Rel PART
rinn dèan Tense=Past VERB
an an Gender=Masc|Number=Sing DET
Sealbh sealbh Case=Nom|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
cha cha PartType=Cmpl|Polarity=Neg PART
deach rach Tense=Past VERB
ceist ceist Case=Nom|Gender=Fem|Number=Sing NOUN
a a PartType=Inf PART
chur cuir VerbForm=Inf NOUN
air air _ ADP
a a Gender=Masc|Number=Sing|Person=3 DET
mhàthair màthair Case=Dat|Gender=Fem|Number=Sing NOUN
, , _ PUNCT
is is _ CCONJ
shìolaidh sìolaidh Tense=Past VERB
a' an Gender=Fem|Number=Sing DET
chùis cùis Case=Nom|Gender=Fem|Number=Sing NOUN
. . _ PUNCT

Aig aig _ ADP
toiseach toiseach Case=Dat|Gender=Masc|Number=Sing NOUN
an an Case=Gen|Gender=Masc|Number=Sing DET
ath ath _ ADJ
gheamhraidh geamhraidh Case=Gen|Gender=Masc|Number=Sing NOUN
phòs pòs Tense=Past VERB
Iain Iain Case=Nom|Gender=Masc PROPN
is is _ CCONJ
Màiri Màiri Case=Nom|Gender=Fem PROPN
, , _ PUNCT
aig aig _ ADP
àm àm Case=Dat|Gender=Masc|Number=Sing NOUN
a a PartType=Vb|PronType=Rel PART
dh'fhaodadh faod Mood=Cnd VERB
Tormod Tormod Case=Nom|Gender=Masc PROPN
màthair màthair Case=Nom|Gender=Fem|Number=Sing NOUN
Iain Iain Case=Gen|Gender=Masc PROPN
a a PartType=Inf PART
chuideachadh cuidich VerbForm=Inf NOUN
leis le _ ADP
an an Gender=Fem|Number=Sing DET
sprèidh sprèidh Case=Dat|Gender=Fem|Number=Sing NOUN
fad fad _ SCONJ
's 's _ CCONJ
a a PartType=Vb|PronType=Rel PART
bha bi Tense=Past VERB
a' an Gender=Fem|Number=Sing DET
chàraid càraid Case=Nom|Gender=Fem|Number=Sing NOUN
òg òg Case=Nom|Gender=Fem|Number=Sing ADJ
air air _ ADP
sgrìob sgrìob Case=Dat|Gender=Fem|Number=Sing NOUN
ann ann _ ADP
an an _ ADP
Lunnainn Lunnainn _ PROPN
. . _ PUNCT

Cha cha PartType=Cmpl|Polarity=Neg PART
robh bi Tense=Past VERB
cùmhnadh cùmhnadh Case=Nom|Gender=Masc|Number=Sing NOUN
acasan aig Number=Plur|Person=3|PronType=Emp ADP
air air _ ADP
airgead airgead Case=Dat|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
is is _ CCONJ
a a _ SCONJ
chionn chionn _ SCONJ
's 's _ CCONJ
nach nach PartType=Cmpl|Polarity=Neg PART
robh bi Tense=Past VERB
an an Gender=Fem|Number=Sing DET
tìde tìde Case=Nom|Gender=Fem|Number=Sing NOUN
ach ach _ ADP
goirid goirid _ ADJ
chaidh rach Tense=Past VERB
iad iad Number=Plur|Person=3 PRON
chun chun _ ADP
a a _ DET
h-uile uile _ DET
dibhearsain dibhearsain Case=Gen|Gender=Masc|Number=Sing NOUN
a a PartType=Vb|PronType=Rel PART
bha bi Tense=Past VERB
Lunnainn Lunnainn _ PROPN
dheàlrach deàlrach Gender=Fem|Number=Sing ADJ
a' ag _ PART
tathann tathann VerbForm=Vnoun NOUN
. . _ PUNCT

Ged ged _ SCONJ
a a PartType=Vb|PronType=Rel PART
chòrd còrd Tense=Past VERB
sin sin _ PRON
uile uile Number=Sing ADJ
riutha riutha Number=Plur|Person=3 ADP
, , _ PUNCT
shàraich sàraich Tense=Past VERB
sràidean sràid Case=Nom|Gender=Fem|Number=Plur NOUN
cruaidhe cruaidhe Case=Nom|Gender=Fem|Number=Plur ADJ
is is _ CCONJ
dùmhlachd dùmhlachd Case=Nom|Gender=Fem|Number=Sing NOUN
dhaoine duine Case=Gen|Gender=Masc|Number=Plur NOUN
nan nan _ ADP
cabhaig cabhaig Case=Dat|Gender=Fem|Number=Sing NOUN
iad iad Number=Plur|Person=3 PRON
, , _ PUNCT
is is _ CCONJ
air air _ ADP
latha latha Case=Dat|Gender=Masc|Number=Sing NOUN
shuidh suidh Tense=Past VERB
iad iad Number=Plur|Person=3 PRON
nan nan _ ADP
rùm rùm Case=Dat|Gender=Masc|Number=Sing NOUN
cadail cadail Case=Gen|Gender=Masc|Number=Sing NOUN
is is _ CCONJ
, , _ PUNCT
ged ged _ SCONJ
a a PartType=Vb|PronType=Rel PART
bha bi Tense=Past VERB
' ' _ PUNCT
glosaidh glosaidh Case=Nom|Gender=Masc|Number=Sing NOUN
' ' _ PUNCT
an an Case=Gen|Gender=Masc|Number=Sing DET
t-aon aon _ PRON
aca aig Number=Plur|Person=3 ADP
fosgailte fosgailte _ ADJ
mun mun _ ADP
coinneamh coinneamh _ PROPN
, , _ PUNCT
bha bi Tense=Past VERB
iad iad Number=Plur|Person=3 PRON
ion ion _ ADJ
's 's _ CCONJ
a a PartType=Inf PART
bhith bi VerbForm=Inf NOUN
tuiteam tuit _ NOUN
nan nan _ ADP
cadal cadal Case=Dat|Gender=Masc|Number=Sing NOUN
. . _ PUNCT

Thug toir Tense=Past VERB
Màiri Màiri Case=Nom|Gender=Fem PROPN
sùil sùil Case=Nom|Gender=Fem|Number=Sing NOUN
air air _ ADP
Iain Iain Case=Dat|Gender=Masc PROPN
is is _ CCONJ
thuirt abair Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
, , _ PUNCT
" " _ PUNCT
Fuirich fuirich Mood=Imp|Person=2 VERB
thusa thu Number=Sing|Person=2|PronType=Emp PRON
far far _ SCONJ
a a Mood=Int|PartType=Vb|PronType=Int PART
bheil bi Tense=Pres VERB
thu thu Number=Sing|Person=2 PRON
, , _ PUNCT
is is _ CCONJ
thèid rach Tense=Fut VERB
mise mi Number=Sing|Person=1|PronType=Emp PRON
leam le Number=Sing|Person=1 ADP
fhìn fhìn Reflex=Yes PRON
a a PartType=Inf PART
thoirt toir VerbForm=Inf NOUN
sùil sùil Case=Gen|Gender=Fem|Number=Sing NOUN
eile eile Case=Gen|Gender=Fem|Number=Sing ADJ
air air _ ADP
bùthainean bùthain Case=Dat|Gender=Fem|Number=Plur NOUN
. . _ PUNCT
" " _ PUNCT

Ach ach _ CCONJ
shàraich sàraich Tense=Past VERB
sàilean sàil Case=Nom|Gender=Fem|Number=Plur NOUN
biorach biorach Case=Nom|Gender=Fem|Number=Plur ADJ
i i Gender=Fem|Number=Sing|Person=3 PRON
, , _ PUNCT
is is _ CCONJ
nuair nuair _ SCONJ
a a PartType=Vb|PronType=Rel PART
chunnaic faic Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
àite àite Case=Nom|Gender=Masc|Number=Sing NOUN
far far _ SCONJ
nach nach PartType=Cmpl|Polarity=Neg PART
robh bi Tense=Past VERB
ach ach _ ADP
beagan beagan Case=Nom|Gender=Masc|Number=Sing NOUN
dhaoine duine Case=Gen|Gender=Masc|Number=Plur NOUN
beusach beusach Case=Gen|Gender=Masc|Number=Plur ADJ
nan nan _ ADP
suidhe suidh VerbForm=Vnoun NOUN
fada fada _ ADV
bho bho _ ADP
chèile chèile Reflex=Yes PRON
ann ann _ ADP
an an _ ADP
rùm rùm Case=Dat|Gender=Masc|Number=Sing NOUN
farsaing farsaing Case=Dat|Gender=Masc|Number=Sing ADJ
, , _ PUNCT
foiseil foiseil Case=Dat|Gender=Masc|Number=Sing ADJ
, , _ PUNCT
chaidh rach Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
staigh staigh _ ADV
is is _ CCONJ
shuidh suidh Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
aig aig _ ADP
bòrd bòrd Case=Dat|Gender=Masc|Number=Sing NOUN
iomallach iomallach Case=Dat|Gender=Masc|Number=Sing ADJ
. . _ PUNCT

Thàinig thig Tense=Past VERB
nighean nighean Case=Nom|Gender=Fem|Number=Sing NOUN
a a PartType=Vb|PronType=Rel PART
bha bi Tense=Past VERB
a' ag _ PART
frìthealadh frìtheal VerbForm=Vnoun NOUN
is is _ CCONJ
dh'iarr iarr Tense=Past VERB
Màiri Màiri Case=Nom|Gender=Fem PROPN
cupa cupa Case=Nom|Gender=Masc|Number=Sing NOUN
ti ti Case=Gen|Gender=Fem|Number=Sing NOUN
. . _ PUNCT

Thuirt abair Tense=Past VERB
ise i Gender=Fem|Number=Sing|Person=3|PronType=Emp PRON
gu gu PartType=Ad PART
fuar fuar _ ADV
, , _ PUNCT
" " _ PUNCT
Tha bi Tense=Pres VERB
poit poit Case=Nom|Gender=Fem|Number=Sing NOUN
ti ti Case=Gen|Gender=Fem|Number=Sing NOUN
do do _ ADP
dh'aon aon _ NUM
neach neach Case=Dat|Gender=Masc|Number=Sing NOUN
còig còig _ NUM
notaichean not Case=Nom|Gender=Masc|Number=Plur NOUN
. . _ PUNCT
" " _ PUNCT

Nuair nuair _ SCONJ
a a PartType=Vb|PronType=Rel PART
thill till Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
, , _ PUNCT
thuirt abair Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
, , _ PUNCT
" " _ PUNCT
Gabh gabh Mood=Imp|Person=2 VERB
siud siud _ PRON
dhut do Number=Sing|Person=2 ADP
fhèin fhèin Reflex=Yes PRON
" " _ PUNCT
is is _ CCONJ
shìn sìn Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
bonn bonn Case=Nom|Gender=Masc|Number=Sing NOUN
not not Case=Gen|Gender=Masc|Number=Sing NOUN
dhi do Gender=Fem|Number=Sing|Person=3 ADP
. . _ PUNCT

Lìon lìon Tense=Past VERB
Màiri Màiri Case=Nom|Gender=Fem PROPN
cupa cupa Case=Nom|Gender=Masc|Number=Sing NOUN
ti ti Case=Gen|Gender=Fem|Number=Sing NOUN
dhi do Gender=Fem|Number=Sing|Person=3 ADP
fhèin fhèin Reflex=Yes PRON
is is _ CCONJ
shuidh suidh Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
air air _ ADP
ais ais _ ADP
a' ag _ PART
coimhead coimhead VerbForm=Vnoun NOUN
mun mun _ ADP
cuairt cuairt Case=Dat|Gender=Fem|Number=Sing NOUN
, , _ PUNCT
is is _ CCONJ
b' is _ AUX
ann ann Gender=Masc|Number=Sing|Person=3 ADP
an an Gender=Fem|Number=Sing DET
uair uair Case=Nom|Gender=Fem|Number=Sing NOUN
sin sin _ DET
a a PartType=Vb|PronType=Rel PART
fhuair faigh Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
cothrom cothrom Case=Nom|Gender=Masc|Number=Sing NOUN
mothachadh mothaich _ NOUN
do do _ ADP
dhithis dithis Case=Dat|Gender=Fem|Number=Sing NOUN
bhoireannach boireannach Case=Gen|Gender=Masc|Number=Plur NOUN
nan nan _ ADP
suidhe suidh VerbForm=Vnoun NOUN
astar astar Case=Nom|Gender=Masc|Number=Sing NOUN
beag beag Case=Nom|Gender=Masc|Number=Sing ADJ
bhuaipe bhuaipe Gender=Fem|Number=Sing|Person=3 ADP
. . _ PUNCT

Bha bi Tense=Past VERB
boireannach boireannach Case=Nom|Gender=Masc|Number=Sing NOUN
is is _ CCONJ
a a Gender=Fem|Number=Sing|Person=3 DET
cùlaibh cùlaibh Case=Nom|Gender=Masc|Number=Sing NOUN
rithe rithe Gender=Fem|Number=Sing|Person=3 ADP
, , _ PUNCT
is is _ CCONJ
tè tè Case=Nom|Gender=Fem|Number=Sing NOUN
na na PartType=Comp PART
bu bu PartType=Comp PART
shine sean Degree=Cmp,Sup ADJ
a' ag _ PART
coimhead coimhead VerbForm=Vnoun NOUN
oirre air Gender=Fem|Number=Sing|Person=3 ADP
le le _ ADP
leithid leithid Case=Dat|Gender=Fem|Number=Sing NOUN
de de _ ADP
mhi-rùn mi-rùn Case=Dat|Gender=Masc|Number=Sing NOUN
is is _ CCONJ
ged ged _ SCONJ
a a PartType=Vb|PronType=Rel PART
bhiodh bi Mood=Cnd VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
air air _ PART
a a PartType=Inf PART
bhith bi VerbForm=Inf NOUN
a' ag _ PART
slupraich slupr VerbForm=Vnoun NOUN
a a Gender=Fem|Number=Sing|Person=3 DET
ti ti Case=Gen|Gender=Fem|Number=Sing NOUN
às as _ ADP
a a Gender=Fem|Number=Sing|Person=3 DET
sàsar sàsar Case=Dat|Gender=Masc|Number=Sing NOUN
. . _ PUNCT

Chan chan PartType=Cmpl|Polarity=Neg PART
fhaca faic Tense=Past VERB
Màiri Màiri Case=Nom|Gender=Fem PROPN
a a Number=Plur|Person=3 DET
leithid leithid Case=Nom|Gender=Fem|Number=Sing NOUN
de de _ ADP
shùilean sùil Case=Dat|Gender=Fem|Number=Plur NOUN
dubha dubha Case=Dat|Gender=Fem|Number=Plur ADJ
, , _ PUNCT
nàimhdeil nàimhdeil Case=Dat|Gender=Fem|Number=Plur ADJ
ach ach _ ADP
ann ann _ ADP
an an _ ADP
ceàrd ceàrd Case=Dat|Gender=Masc|Number=Sing NOUN
nan an Case=Gen|Gender=Fem|Number=Plur DET
spàinean spàin Case=Gen|Gender=Fem|Number=Plur NOUN
. . _ PUNCT

Gus gus _ ADP
sealltainn seall VerbForm=Vnoun NOUN
nach nach PartType=Cmpl|Polarity=Neg PART
robh bi Tense=Past VERB
am an Gender=Masc|Number=Sing DET
mi-rùn mi-rùn Case=Nom|Gender=Masc|Number=Sing NOUN
seo seo _ DET
a' ag _ PART
cur cuir VerbForm=Vnoun NOUN
dragh dragh Case=Gen|Gender=Masc|Number=Sing NOUN
sam sam _ ADJ
bith bith _ ADJ
oirre air Gender=Fem|Number=Sing|Person=3 ADP
, , _ PUNCT
chuir cuir Tense=Past VERB
Màiri Màiri Case=Nom|Gender=Fem PROPN
a a Gender=Fem|Number=Sing|Person=3 DET
h-uileann uileann Case=Nom|Gender=Fem|Number=Sing NOUN
gu gu PartType=Ad PART
socair socair _ ADV
air air _ ADP
a' an Gender=Masc|Number=Sing DET
bhòrd bòrd Case=Dat|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
is is _ CCONJ
a' ag _ PART
cur cuir VerbForm=Vnoun NOUN
taic taic Case=Gen|Gender=Fem|Number=Sing NOUN
ri ri _ ADP
smeigead smeigead Case=Dat|Gender=Masc|Number=Sing NOUN
chuir cuir Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
an an Gender=Fem|Number=Sing DET
làmh làmh Case=Nom|Gender=Fem|Number=Sing NOUN
air air _ ADP
an an Mood=Int|PartType=Vb|PronType=Int PART
robh bi Tense=Past VERB
fàinne fàinne Case=Nom|Gender=Masc|Number=Sing NOUN
le le _ ADP
saiphirean saiphir Case=Dat|Gender=Fem|Number=Plur NOUN
is is _ CCONJ
daoimeanan daoimean Case=Dat|Gender=Masc|Number=Plur NOUN
a' ag _ PART
deàlradh deàlr VerbForm=Vnoun NOUN
. . _ PUNCT

Riamh riamh _ ADV
cha cha PartType=Cmpl|Polarity=Neg PART
do do Tense=Past PART
thuig tuig Tense=Past VERB
Màiri Màiri Case=Nom|Gender=Fem PROPN
dè dè Mood=Int PRON
chuir cuir Tense=Past VERB
an an Gender=Masc|Number=Sing DET
cuthach cuthach Case=Nom|Gender=Masc|Number=Sing NOUN
dearg dearg Case=Nom|Gender=Masc|Number=Sing ADJ
air air _ ADP
a' an Gender=Masc|Number=Sing DET
bhoireannach boireannach Case=Dat|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
oir oir _ CCONJ
cha cha PartType=Cmpl|Polarity=Neg PART
tuigeadh tuig Mood=Cnd VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
facal facal Case=Nom|Gender=Masc|Number=Sing NOUN
den den _ ADP
chànain cànain Case=Dat|Gender=Fem|Number=Sing NOUN
anns anns _ ADP
an an Mood=Int|PartType=Vb|PronType=Int PART
robh bi Tense=Past VERB
ise i Gender=Fem|Number=Sing|Person=3|PronType=Emp PRON
cho cho _ ADV
fileanta fileanta _ ADJ
. . _ PUNCT

Thionndaidh tionndaidh Tense=Past VERB
a a Gender=Fem|Number=Sing|Person=3 DET
ban-chompanach ban-chompanach Case=Nom|Gender=Masc|Number=Sing NOUN
aodann aodann Case=Nom|Gender=Masc|Number=Sing NOUN
mear mear Case=Nom|Gender=Masc|Number=Sing ADJ
ri ri _ ADP
Màiri Màiri Case=Dat|Gender=Fem PROPN
, , _ PUNCT
choimhead coimhead Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
gu gu PartType=Ad PART
dian dian _ ADV
oirre air Gender=Fem|Number=Sing|Person=3 ADP
, , _ PUNCT
ach ach _ CCONJ
gun gun _ ADP
ghamhlas gamhlas Case=Dat|Gender=Masc|Number=Sing NOUN
. . _ PUNCT

Ar arsa Tense=Past VERB
le le _ ADP
Màiri Màiri Case=Dat|Gender=Fem PROPN
gun gun _ PART
do do Tense=Past PART
chaog caog Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
sùil sùil Case=Nom|Gender=Fem|Number=Sing NOUN
rithe rithe Gender=Fem|Number=Sing|Person=3 ADP
mun mun _ SCONJ
do do Tense=Past PART
thionndaidh tionndaidh Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
bhuaipe bhuaipe Gender=Fem|Number=Sing|Person=3 ADP
a a PartType=Inf PART
chur cuir VerbForm=Inf NOUN
casg casg Case=Gen|Gender=Masc|Number=Sing NOUN
air air _ ADP
ruapais ruapais Case=Dat|Gender=Fem|Number=Sing NOUN
a a Gender=Fem|Number=Sing|Person=3 DET
bana-chompanaich bana-chompanach Case=Gen|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
nach nach PartType=Vb|Polarity=Neg|PronType=Rel PART
tug toir Tense=Past VERB
a a Gender=Fem|Number=Sing|Person=3 DET
sùilean sùil Case=Nom|Gender=Fem|Number=Plur NOUN
nimheil nimheil Case=Nom|Gender=Fem|Number=Plur ADJ
far far _ ADP
Màiri Màiri Case=Gen|Gender=Fem PROPN
. . _ PUNCT

Nuair nuair _ SCONJ
a a PartType=Vb|PronType=Rel PART
thill till Tense=Past VERB
Màiri Màiri Case=Nom|Gender=Fem PROPN
far far _ SCONJ
an an Mood=Int|PartType=Vb|PronType=Int PART
robh bi Tense=Past VERB
Iain Iain Case=Nom|Gender=Masc PROPN
, , _ PUNCT
phaisg paisg Tense=Past VERB
esan e Gender=Masc|Number=Sing|Person=3|PronType=Emp PRON
seachad seachad _ ADV
an an Gender=Masc|Number=Sing DET
glosaidh glosaidh Case=Nom|Gender=Masc|Number=Sing NOUN
air air _ ADP
an an Mood=Int|PartType=Vb|PronType=Int PART
robh bi Tense=Past VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
air air _ PART
a a PartType=Inf PART
bhith bi VerbForm=Inf NOUN
a' ag _ PART
coimhead coimhead VerbForm=Vnoun NOUN
fad fad Case=Nom|Gender=Masc|Number=Sing NOUN
ùine ùin Case=Gen|Gender=Fem|Number=Sing NOUN
. . _ PUNCT

Air air _ ADP
duilleig duilleag Case=Dat|Gender=Fem|Number=Sing NOUN
mhòir mòr Case=Dat|Gender=Fem|Number=Sing ADJ
bha bi Tense=Past VERB
dealbh dealbh Case=Nom|Gender=Masc|Number=Sing NOUN
boireannaich boireannach Case=Gen|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
a a PartType=Vb|PronType=Rel PART
dh'aithnich aithnich Tense=Past VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
ar arsa Tense=Past VERB
leis le Gender=Masc|Number=Sing|Person=3 ADP
, , _ PUNCT
ged ged _ SCONJ
a a PartType=Vb|PronType=Rel PART
b' is _ AUX
ann ann Gender=Masc|Number=Sing|Person=3 ADP
às as _ ADP
Ameireaga Ameireaga _ PROPN
a a _ PROPN
Deas Deas _ PROPN
a a PartType=Vb|PronType=Rel PART
bha bi Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
, , _ PUNCT
is is _ CCONJ
a a PartType=Vb|PronType=Rel PART
bha bi Tense=Past VERB
ion ion _ ADJ
's 's _ CCONJ
cho cho _ ADV
beartach beartach _ ADJ
ri ri _ ADP
Ban-rìgh ban-rìgh Case=Dat|Gender=Fem|Number=Sing NOUN
Bhreatainn Breatainn _ PROPN
, , _ PUNCT
is is _ CCONJ
i i Gender=Fem|Number=Sing|Person=3 PRON
ag ag _ PART
agairt agair VerbForm=Vnoun NOUN
eòlas eòlas Case=Gen|Gender=Masc|Number=Sing NOUN
air air _ ADP
buadhan buadh Case=Dat|Gender=Masc|Number=Plur NOUN
mi-chneasda mi-chneasda Case=Dat|Gender=Masc|Number=Plur ADJ
. . _ PUNCT

" " _ PUNCT
Seadh seadh _ INTJ
a-niste a-niste _ ADV
? ? _ PUNCT
" " _ PUNCT
ars arsa Tense=Past VERB
Iain Iain Case=Nom|Gender=Masc PROPN
nuair nuair _ SCONJ
a a PartType=Vb|PronType=Rel PART
thàinig thig Tense=Past VERB
a a Gender=Masc|Number=Sing|Person=3 DET
bhean bean Case=Nom|Gender=Fem|Number=Sing NOUN
a-staigh a-staigh _ ADV
. . _ PUNCT

" " _ PUNCT
Cha cha PartType=Cmpl|Polarity=Neg PART
creid creid Tense=Fut VERB
mi mi Number=Sing|Person=1 PRON
nach nach PartType=Cmpl|Polarity=Neg PART
fhaca faic Tense=Past VERB
mi mi Number=Sing|Person=1 PRON
na na PartType=Vb|PronType=Rel PART
dh'fhòghnas fhòghn Tense=Fut VERB
de de _ ADP
Lunnainn Lunnainn _ PROPN
. . _ PUNCT
" " _ PUNCT

Chaidh rach Tense=Past VERB
iad iad Number=Plur|Person=3 PRON
dhachaigh dhachaigh _ ADV
, , _ PUNCT
is is _ CCONJ
chuir cuir Tense=Past VERB
Màiri Màiri Case=Nom|Gender=Fem PROPN
dhith de Gender=Fem|Number=Sing|Person=3 ADP
am an Gender=Masc|Number=Sing DET
fàinne fàinne Case=Nom|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
gun gun _ ADP
